id_funcionario,data_avaliacao,nota,comentario
1,2025-10-27,5,Excelente
1,2024-11-06,1,Regular
1,2025-09-29,4,Precisa melhorar
1,2025-03-03,2,Excelente
2,2024-06-27,1,Excelente
2,2021-09-29,3,Excelente
2,2025-05-31,3,Precisa melhorar
3,2023-12-14,4,Bom desempenho
3,2021-07-01,2,Regular
3,2023-10-24,5,Regular
3,2022-02-05,3,Excelente
4,2023-01-04,4,Precisa melhorar
4,2022-05-09,2,Precisa melhorar
4,2024-09-19,5,Precisa melhorar
4,2024-03-02,4,Regular
4,2024-12-27,2,Precisa melhorar
5,2022-04-20,3,Excelente
5,2024-05-19,2,Excelente
5,2025-08-08,1,Bom desempenho
5,2023-05-31,5,Regular
6,2025-02-16,1,Excelente
6,2025-03-07,4,Bom desempenho
6,2025-03-01,3,Bom desempenho
6,2025-07-26,1,Excelente
7,2025-05-31,2,Excelente
7,2025-10-09,4,Excelente
7,2024-07-24,4,Regular
8,2025-10-26,3,Bom desempenho
8,2025-10-25,2,Bom desempenho
8,2025-10-26,3,Bom desempenho
9,2024-12-14,1,Bom desempenho
9,2025-04-13,5,Bom desempenho
9,2025-02-23,4,Regular
9,2024-11-24,5,Excelente
9,2025-06-14,3,Regular
10,2024-05-18,5,Precisa melhorar
10,2025-05-09,4,Precisa melhorar
10,2025-07-18,3,Regular
10,2024-07-20,5,Precisa melhorar
10,2024-02-10,1,Precisa melhorar
11,2023-11-25,3,Regular
11,2023-11-02,4,Regular
11,2025-04-20,4,Bom desempenho
12,2025-09-30,4,Precisa melhorar
12,2025-04-03,5,Excelente
12,2025-05-13,2,Regular
13,2025-07-27,4,Excelente
13,2025-08-14,1,Regular
13,2025-10-09,3,Bom desempenho
13,2025-06-13,4,Excelente
14,2023-07-27,3,Regular
14,2024-08-09,5,Precisa melhorar
14,2024-11-30,5,Regular
15,2024-12-29,2,Regular
15,2025-03-31,3,Regular
15,2024-10-11,3,Bom desempenho
15,2023-08-17,3,Excelente
15,2023-12-15,4,Excelente
16,2024-08-08,5,Bom desempenho
16,2023-05-29,1,Precisa melhorar
16,2025-08-03,2,Precisa melhorar
16,2025-01-06,1,Regular
17,2023-10-26,5,Excelente
17,2025-02-21,3,Excelente
17,2025-10-08,1,Excelente
17,2025-07-20,4,Precisa melhorar
17,2022-06-27,2,Excelente
18,2022-09-18,4,Regular
18,2025-06-25,4,Precisa melhorar
18,2023-12-29,5,Bom desempenho
19,2025-07-21,4,Regular
19,2022-12-21,1,Precisa melhorar
20,2025-09-30,5,Bom desempenho
20,2025-07-25,3,Bom desempenho
20,2025-08-12,1,Regular
20,2025-09-19,4,Excelente
20,2025-06-01,4,Excelente
21,2024-06-11,4,Bom desempenho
21,2024-12-31,2,Regular
21,2023-03-26,5,Regular
21,2023-04-24,4,Regular
22,2025-06-20,1,Bom desempenho
22,2025-08-09,1,Regular
22,2025-03-27,5,Precisa melhorar
22,2022-12-17,1,Bom desempenho
23,2025-08-31,3,Excelente
23,2025-08-21,4,Regular
23,2025-09-11,1,Excelente
23,2025-08-28,3,Regular
24,2024-08-21,1,Precisa melhorar
24,2023-09-21,3,Precisa melhorar
25,2025-01-29,2,Precisa melhorar
25,2025-02-04,2,Excelente
26,2024-01-24,5,Bom desempenho
26,2025-07-15,2,Excelente
26,2025-10-17,4,Excelente
27,2025-09-14,5,Bom desempenho
27,2025-10-22,3,Bom desempenho
27,2025-09-06,4,Bom desempenho
27,2025-08-03,2,Precisa melhorar
27,2024-12-08,4,Precisa melhorar
28,2024-05-10,1,Bom desempenho
28,2025-02-26,5,Excelente
28,2024-04-27,5,Excelente
28,2023-11-09,1,Regular
28,2024-09-06,3,Precisa melhorar
29,2023-12-30,4,Bom desempenho
29,2023-07-29,5,Regular
29,2023-04-22,2,Regular
29,2023-05-25,1,Bom desempenho
30,2025-07-21,1,Precisa melhorar
30,2025-10-16,5,Bom desempenho
30,2024-07-13,3,Bom desempenho
31,2024-12-12,3,Precisa melhorar
31,2025-07-16,3,Precisa melhorar
31,2024-05-09,5,Excelente
31,2024-12-10,2,Precisa melhorar
